StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-05-22T09:38:18.345644+07:00,Inbound,PT12.074346S,True,Extension,1,Answered,0112
2026-05-22T09:38:18.529345+07:00,Outbound,PT12.307284S,True,External,1,Answered,10024
2026-05-22T09:42:56.251557+07:00,Internal,PT3.552599S,True,System,1,Answered,*30
2026-05-22T09:43:06.348441+07:00,Outbound,PT7M26.458505S,True,External,1,Answered,10024
2026-05-22T09:52:26.221924+07:00,Internal,PT3.553169S,True,System,1,Answered,*30
2026-05-22T10:06:42.022245+07:00,Internal,PT3.124741S,True,System,1,Answered,*31
2026-05-22T10:08:03.576355+07:00,Internal,PT3.511639S,True,System,1,Answered,*30
2026-05-22T10:14:26.324452+07:00,Outbound,PT0S,False,External,1,Unanswered,10024
2026-05-22T10:22:36.954043+07:00,Inbound,PT12.065886S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:22:49.221692+07:00,Inbound Queue,PT3.312252S,True,Queue,1,Waiting,8196
2026-05-22T10:22:49.928816+07:00,Inbound,PT42.12871S,True,Extension,1,Answered,0113
2026-05-22T10:25:55.110393+07:00,Internal,PT3.494219S,True,System,1,Answered,*30
2026-05-22T10:26:02.042148+07:00,Internal,PT3.135939S,True,System,1,Answered,*31
2026-05-22T10:28:25.716306+07:00,Inbound,PT11.893929S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:28:37.775557+07:00,Inbound Queue,PT2.461456S,True,Queue,1,Waiting,8196
2026-05-22T10:28:38.335829+07:00,Inbound,PT27M41.502857S,True,Extension,1,Answered,0114
2026-05-22T10:39:51.635748+07:00,Internal,PT3.518023S,True,System,1,Answered,*30
2026-05-22T10:39:57.802653+07:00,Inbound,PT12.075596S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:40:09.977979+07:00,Inbound Queue,PT2.664883S,True,Queue,1,Waiting,8196
2026-05-22T10:40:10.670927+07:00,Inbound,PT2M3.352431S,True,Extension,1,Answered,0112
2026-05-22T10:40:13.680633+07:00,Inbound,PT11.991702S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:40:25.664947+07:00,Inbound Queue,PT2.455114S,True,Queue,1,Waiting,8196
